rank,iso3,country_name,income_group,peer_group,ppp_data_available,gdp_usd,gdp_ppp,actual_contribution_usd,adjusted_target_usd,gap_usd_signed,gap_pct_ppp_gdp,gap_usd_lower,gap_usd_upper,giving_rate_raw,giving_rate,p_donate,pred_donation_usd,expected_contribution,donor_segment,imr
40,PRI,Puerto Rico (US),HIC,High Income,True,126029527033.705,141604056305.924,0.0,1719056.7005323046,1719056.7005323046,0.0012139883174097942,-152337236550.51126,152340674663.91232,0.0,0.0,0.1540532201302402,34638621.8798623,1719056.7005323046,Low Probability,1.5405367449062632
41,ZAF,South Africa,UMC,Upper-Middle Income,True,401144998373.585,870347572712.603,0.0,1323656.2523714488,1323656.2523714488,0.0001520836380626677,-484885127460.4412,484887774772.946,0.0,0.0,0.03726719616574057,43754578.97834689,1323656.2523714488,Low Probability,2.182759627616971
42,KAZ,Kazakhstan,UMC,Upper-Middle Income,True,291480274648.826,740796393997.686,0.0,1273903.4431873385,1273903.4431873385,0.000171964044845407,-352327276914.89136,352329824721.7777,0.0,0.0,0.049360576917900224,43289182.64959131,1273903.4431873385,Low Probability,2.0680855135550695
43,MKD,North Macedonia,UMC,Upper-Middle Income,True,16951682245.4202,44155482553.4128,0.0,1261963.4726678755,1261963.4726678755,0.0028579995046851495,-20489186821.29503,20491710748.240364,0.0,0.0,0.296145825492265,7316110.248669566,1261963.4726678755,Emerging Prospect,1.1671617488844857
44,MDA,Moldova,UMC,Upper-Middle Income,True,18200340853.6517,39341631754.8437,0.0,1073982.0806852328,1073982.0806852328,0.002729886974128889,-21998698472.82242,22000846436.983788,0.0,0.0,0.23474110654756458,6507353.788903073,1073982.0806852328,Emerging Prospect,1.3083101104777126
45,GTM,Guatemala,UMC,Upper-Middle Income,True,113199581158.203,232672713446.216,0.0,1033473.1958650086,1033473.1958650086,0.0004441746436691226,-136829647198.98167,136831714145.3734,0.0,0.0,0.10311154230765562,26314312.11812099,1033473.1958650086,Low Probability,1.7404313063600638
46,BGD,Bangladesh,LMC,Lower-Middle Income,True,450119432068.852,1472986459828.03,0.0,1004379.335231448,1004379.335231448,6.818659659293192e-05,-544083590665.93427,544085599424.6047,0.0,0.0,0.025201296969815122,56417810.16571647,1004379.335231448,Low Probability,2.3347710560020487
47,SRB,Serbia,UMC,Upper-Middle Income,True,90097765959.1114,177181823265.525,0.0,1000528.4426651835,1000528.4426651835,0.0005646902285037386,-108905220829.37727,108907221886.26262,0.0,0.0,0.12542043487488874,29615839.79214463,1000528.4426651835,Low Probability,1.6451605223923904
48,IRQ,Iraq,UMC,Upper-Middle Income,True,279641257615.385,585886626484.749,0.0,964776.5017472166,964776.5017472166,0.00016466948691690785,-338017102358.0524,338019031911.05597,0.0,0.0,0.038965329780897874,77560657.1907616,964776.5017472166,Low Probability,2.16490239307564
49,CRI,Costa Rica,HIC,High Income,True,95350423176.5962,138371299881.655,0.0,929513.5788749497,929513.5788749497,0.0006717531595568849,-115254473131.41927,115256332158.57701,0.0,0.0,0.11009966546304911,24127171.13029361,929513.5788749497,Low Probability,1.7089768829341925
