iso3,gdp_usd,gdp_per_capita_usd,govt_revenue_pct_gdp,govt_expenditure_pct_gdp,trade_openness,gov_effectiveness
KAZ,291480274648.826,14154.6324958076,16.5366535632741,17.4457811545455,57.1613431963924,0.1467641
LBY,48487151215.345,6569.16408678648,,,128.816175842936,-1.41948799999999
LCA,2549062962.96296,14181.6303351598,,,,0.2682296
MDA,18200340853.6517,7576.19589413326,29.4018819805652,34.4725442262112,88.6661154286831,0.2576379
MDV,7061608267.25451,13379.3513577224,24.7786698558959,29.475529855381,156.473955741011,-0.221286999999999
MEX,1856365616165.94,14185.7812248529,19.1627563559157,22.4106159687135,74.5889079825143,-0.2199329
MHL,290108489.990234,7726.33668877794,31.277088502895,59.4431771972105,123.809133966775,-0.2909441
MKD,16951682245.4202,9291.85661671864,29.3769017621119,33.3785817447945,136.324876175556,-0.0323427
MNE,8270016670.86774,13263.3281277699,,,109.944104480975,0.3664948
MNG,23794540024.5132,6750.6301157724,31.6089010017176,31.6966486780552,138.448379141249,-0.3892189
MUS,14937861786.17,11990.7798944837,24.7075650077302,29.1424031344469,145.421700301153,0.7653533
MYS,422227005428.688,11874.4273684245,16.7996896751835,17.0088733715367,137.362571161559,0.9147725
PER,289221969062.941,8452.37167056621,20.6771966687553,22.846765924466,51.4758878672647,-0.2004128
PRY,44458118397.4445,6416.09708970845,18.7875124788996,18.9555342614778,76.8311565430624,-0.3545101
SLV,35364960000.0,5579.65969165029,26.8850862548692,27.6800868672893,84.6596461582312,-0.1831795
SRB,90097765959.1114,13679.2065983557,38.6499916194589,35.4627580017931,111.725028388916,0.1019486
SUR,4416775112.09627,6961.78955961526,,,,-0.454291699999999
THA,526517658841.684,7346.62022142185,20.34632257645,20.7664684607695,136.747107022451,0.2536395
TKM,51387209872.2994,6856.65802730208,,,28.7346076303052,-1.0591384
TON,591139749.44287,5651.59373063157,22.6409780813941,34.6540011081055,79.6239205024045,-0.0372776
TUR,1359123768774.12,15892.7157287241,31.4818867249691,33.0277530817277,54.5988061195916,-0.0707153
TUV,62280311.5852172,6344.7750188689,,,,-0.6909856
UKR,190741262414.705,5389.47314453125,33.6707104990573,65.5600221546264,77.7530113300514,-0.5988431
VCT,1157207407.40741,11501.2265187188,,,,0.2682296
VEN,119802963257.783,4217.59102643391,,,26.0811657596499,-1.46624969999999
WSM,1175749785.65113,5392.87761915762,30.7232802045394,26.6839529354459,79.5241461770504,0.4344899
XKX,11197246322.588,7023.06598512878,,,113.789651964133,-0.0612949999999999
ZAF,401144998373.585,6267.186814093,29.8093094943187,33.4243056296085,61.646770473025,-0.2259135
