iso3,country_name,income_group,peer_group,ppp_data_available,gdp_usd,gdp_ppp,actual_contribution_usd,adjusted_target_usd,gap_usd_signed,gap_pct_ppp_gdp,gap_usd_lower,gap_usd_upper,giving_rate_raw,giving_rate,p_donate,pred_donation_usd,expected_contribution,donor_segment,imr
DOM,Dominican Republic,UMC,Upper-Middle Income,True,124282245638.568,276888443219.725,0.0,908377.704966487,908377.704966487,0.00032806631233996407,-135849807019.52383,135851623774.93378,0.0,0.0,0.08254870417273197,130514245.03517617,908377.704966487,Low Probability,1.8440709047829142
MCO,Monaco,HIC,High Income,False,11125783372.4794,,0.0,880086.6586750885,880086.6586750885,,-12160516118.728838,12162276292.046186,0.0,0.0,0.3146780654455836,42622037.25904282,880086.6586750885,Emerging Prospect,1.128398299548341
HUN,Hungary,HIC,High Income,True,222722738925.641,389051087730.184,23240000.0,24117029.7796456,877029.7796455994,0.00022542792124355656,-243453393230.75873,243455147290.318,0.9636344198411282,0.9636344198411282,0.9620146325255045,368900947.18663234,24117029.7796456,High-Potential Prospect,0.08588529030716467
ECU,Ecuador,UMC,Upper-Middle Income,True,124676074700.0,252727662993.613,0.0,853292.8050388655,853292.8050388655,0.00033763332234051094,-136280349656.88841,136282056242.49849,0.0,0.0,0.07729792731715264,133183238.88544664,853292.8050388655,Low Probability,1.8738517020701975
URY,Uruguay,HIC,High Income,True,80961511073.5797,108502123258.158,0.0,776079.9453334943,776079.9453334943,0.0007152670584030647,-88496813760.62068,88498365920.51134,0.0,0.0,0.10826317050559625,83321744.3831473,776079.9453334943,Low Probability,1.7170866520157222
MAC,"Macao SAR, China",HIC,High Income,True,49467258923.3244,76733436445.1954,0.0,739090.6285197898,739090.6285197898,0.0009631924005484409,-54071043077.009834,54072521258.26687,0.0,0.0,0.16874570791601567,136283816.74413982,739090.6285197898,Low Probability,1.4925038755173066
EGY,"Egypt, Arab Rep.",LMC,Lower-Middle Income,True,389059911003.566,1957627322504.22,0.0,717539.4982700248,717539.4982700248,3.665352899509697e-05,-425273761294.1431,425275196373.1397,0.0,0.0,0.020829661632824997,176795640.03044343,717539.4982700248,Low Probability,2.405945278879592
MNE,Montenegro,UMC,Upper-Middle Income,True,8270016670.86774,17524612407.7645,0.0,619934.4998808174,619934.4998808174,0.0035375076233135267,-9039188409.09625,9040428278.096014,0.0,0.0,0.29820234516032174,32369437.3195728,619934.4998808174,Emerging Prospect,1.1627851938021418
MAR,Morocco,LMC,Lower-Middle Income,True,160610994054.734,354338830185.762,0.0,609348.2954640697,609348.2954640697,0.00017196768842540317,-175560415727.23343,175561634423.82437,0.0,0.0,0.04284924915400479,117715176.18742746,609348.2954640697,Low Probability,2.1264244374388968
PRY,Paraguay,UMC,Upper-Middle Income,True,44458118397.4445,112919442526.934,0.0,545295.0954607137,545295.0954607137,0.0004829062943085711,-48595834328.36116,48596924918.55208,0.0,0.0,0.13852667146749037,77078662.62404442,545295.0954607137,Low Probability,1.5952174009719495
IRN,"Iran, Islamic Rep.",UMC,Upper-Middle Income,True,475252089215.416,1600982419419.64,0.0,499810.46041009057,499810.46041009057,3.121898493996412e-05,-519489118213.51746,519490117834.43823,0.0,0.0,0.01187775032651907,166091389.0184433,499810.46041009057,Low Probability,2.6063535794423385
DZA,Algeria,UMC,Upper-Middle Income,True,269322281664.773,725711643445.634,0.0,481055.051208498,481055.051208498,6.628735470254802e-05,-294390921744.1535,294391883854.2559,0.0,0.0,0.0201732271988985,130063004.29030213,481055.051208498,Low Probability,2.417738691304171
COD,"Congo, Dem. Rep.",LIC,Low Income,True,70962185790.7094,175068770052.875,0.0,447419.49416855583,447419.49416855583,0.00025556785144113613,-77567057547.01822,77567952386.00656,0.0,0.0,0.07120997017294631,82501182.76140518,447419.49416855583,Low Probability,1.910521089229305
